

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Projects\Organelles\PURExpress_frex_systems\2024.01.26_PURExpress_DNAconcs_v2\2024.01.26_PURExp_DNA_concs_Biotek4_v2.xpt
Protocol File Path:	C:\Users\Biotek4\Box\biocircuits\ZJurado\Biotek\Protocols\deGFP_MGapt_384.prt



Plate Number	Plate 1
Date	1/26/2024
Time	5:15:28 PM
Reader Type:	Synergy H1
Reader Serial Number:	18060417
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:03:00, 241 Reads
    Read	mGapt
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 135
	Filter Set 2
	    Excitation: 610,  Emission: 650
	    Optics: Bottom,  Gain: 150
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
    Read	deGFP
	Fluorescence Endpoint
	B2..D8
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1	SPL4	SPL7	SPL10	SPL13	SPL16	SPL19																	Well ID
C		SPL2	SPL5	SPL8	SPL11	SPL14	SPL17	SPL20																	Well ID
D		SPL3	SPL6	SPL9	SPL12	SPL15	SPL18	SPL21																	Well ID
E																									Well ID
F		SPL1	SPL4	SPL7	SPL10		SPL25	SPL28	SPL31	SPL34															Well ID
G		SPL2	SPL5	SPL8	SPL11		SPL26	SPL29	SPL32	SPL35															Well ID
H		SPL3	SPL6	SPL9	SPL12		SPL27	SPL30	SPL33	SPL36															Well ID
I		SPL1	SPL2																						Well ID
J		SPL13	SPL16	SPL19	SPL22		SPL37	SPL40	SPL43	SPL46															Well ID
K		SPL14	SPL17	SPL20	SPL23		SPL38	SPL41	SPL44	SPL47															Well ID
L		SPL15	SPL18	SPL21	SPL24		SPL39	SPL42	SPL45	SPL48															Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

mGapt:610,650

Time	T° mGapt:610,650	B2	B3	B4	B5	B6	B7	B8	C2	C3	C4	C5	C6	C7	C8	D2	D3	D4	D5	D6	D7	D8	F2	F3	F4	F5	F7	F8	F9	F10	G2	G3	G4	G5	G7	G8	G9	G10	H2	H3	H4	H5	H7	H8	H9	H10	I2	I3	J2	J3	J4	J5	J7	J8	J9	J10	K2	K3	K4	K5	K7	K8	K9	K10	L2	L3	L4	L5	L7	L8	L9	L10
5:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	504	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	511	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	481																																																		
5:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	527	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	553	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496																																																		
5:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	572	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	490	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507																																																		
5:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	574	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	521	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	535																																																		
5:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	536	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
5:30:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	537	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	470																																																		
5:33:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	524	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	503	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510																																																		
5:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	530	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	520	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	509																																																		
5:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	468	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	488	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	487																																																		
5:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	539	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	528	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507																																																		
5:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	558	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	514	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	471																																																		
5:48:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	548	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	501	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	457																																																		
5:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	541	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
5:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	537	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	479	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518																																																		
5:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	549	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	521	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	500																																																		
6:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522																																																		
6:03:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	546	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	542																																																		
6:06:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	543	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	495	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	530																																																		
6:09:37	36.9	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	500	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491																																																		
6:12:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	558	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	550	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491																																																		
6:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	483	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	485	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	506																																																		
6:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	543	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	545	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	487																																																		
6:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	545	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	556	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	522																																																		
6:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	503	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	506	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	481																																																		
6:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	538	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	495	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	528																																																		
6:30:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	559	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	543																																																		
6:33:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	550	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	498	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	480																																																		
6:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	485	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	541	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	521																																																		
6:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	527	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	502	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	514																																																		
6:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	490	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	476																																																		
6:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	546	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	503																																																		
6:48:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	531	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	475	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525																																																		
6:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	498	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	528	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	536																																																		
6:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	538	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	505																																																		
6:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	547	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	538	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	480																																																		
7:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	536	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	544	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	458																																																		
7:03:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	524	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512																																																		
7:06:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	501	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	578	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	463																																																		
7:09:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	500	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496																																																		
7:12:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	527	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	511																																																		
7:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	535	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
7:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	502	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	551	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	484																																																		
7:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	571	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	465																																																		
7:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	536	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	551	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	495																																																		
7:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	556	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	528	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	546																																																		
7:30:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	519	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	531	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491																																																		
7:33:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	489	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	467	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496																																																		
7:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	441																																																		
7:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	514	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	526	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	539																																																		
7:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	488	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	509																																																		
7:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	536	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	467																																																		
7:48:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	579	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	530																																																		
7:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	498	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	497																																																		
7:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	481	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	533																																																		
7:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	486																																																		
8:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	557	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	515	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	519																																																		
8:03:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	520	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	534	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
8:06:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	497	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	485	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491																																																		
8:09:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	475	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	482	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	492																																																		
8:12:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	534	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	477	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	476																																																		
8:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	507	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	493	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499																																																		
8:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	537	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	487	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	477																																																		
8:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	579	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	528	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	492																																																		
8:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	526	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	540	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	489																																																		
8:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	534	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	518	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	516																																																		
8:30:37	36.9	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	541	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	504	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	496																																																		
8:33:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	488	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	533	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	501																																																		
8:36:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	532	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	460																																																		
8:39:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	461	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	487	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525																																																		
8:42:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	530	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	539	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	537																																																		
8:45:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	499	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	490	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	459																																																		
8:48:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	521	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	552																																																		
8:51:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	567	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	541	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	534																																																		
8:54:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	525	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	543	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	504																																																		
8:57:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	537	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	517	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	536																																																		
9:00:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	514	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	497																																																		
9:03:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	562	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	543	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	506																																																		
9:06:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	512	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	513	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	526																																																		
9:09:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	547	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	493	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	491																																																		
9:12:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	484	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	493																																																		
9:15:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	510	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	508	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	480																																																		
9:18:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	561	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	523	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	503																																																		
9:21:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	526	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	521	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	471																																																		
9:24:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	486	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	502	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	474																																																		
9:27:37	37.0	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	547	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	501	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	489																																																		
